internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
ENFORCERPOLICECRIMEACTION,Enforcer: Police Crime Action,/game/enforcer-justice-law-order/,0StH0e6bKWQykdFnQB78fiYHeU9k9z6qZF5Alxecl44%3D,1,134566,3.99,19.99,1,80.040020,36,Mixed,46,1561,318220,1414108800,1769747616,5.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/318220/capsule_231x87.jpg?t=1726150279,2014-10-24 00:00:00+00:00,2014,10/24/14
EUROPEANSHIPSIMULATOR,European Ship Simulator,/game/european-ship-simulator/,nYqyXcI4LR318OEc0CRWIz1lQUkcBncs7J6gBSTrPW8%3D,1,125611,3.99,19.99,1,80.040020,0,Mixed,42,594,299250,1478217600,1769742141,5.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/299250/capsule_231x87.jpg?t=1726150163,2016-11-04 00:00:00+00:00,2016,11/04/16
MORTALKOMBATX,Mortal Kombat X,/game/mortal-kombat-x/,yMtVoIFp6cdHsr%2BJcWkX06yqvoW9tMSUcP7ywrlej0I%3D,1,129543,3.99,19.99,1,80.040020,76,Very Positive,80,11276,307780,1428883200,1770680240,8.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/307780/capsule_231x87.jpg?t=1761846088,2015-04-13 00:00:00+00:00,2015,04/13/15
OILENTERPRISE,Oil Enterprise,/game/oil-enterprise/,6z9uQ0zNY3zl%2BR6ugQl4QZODYa2g1esiSDdjHmHEr7M%3D,1,144043,3.99,19.99,1,80.040020,0,Mixed,42,139,353630,1461110400,1770330446,5.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/353630/capsule_231x87.jpg?t=1768874527,2016-04-20 00:00:00+00:00,2016,04/20/16
THEESCAPISTSTHEWALKINGDEAD,The Escapists: The Walking Dead,/game/the-escapists-the-walking-dead/,l8wuxNNzU9FKIQVLARJg6Oq%2FOHrX47D8foqSn7PMtUo%3D,1,145876,3.99,19.99,1,80.040020,66,Mixed,63,722,388060,1443571200,1770662158,7.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/388060/capsule_231x87.jpg?t=1763041086,2015-09-30 00:00:00+00:00,2015,09/30/15
DOOM,DOOM,/game/doom/,qkANSOCLg4WZBWnlfqDBfIPASqIwTEPihuXxshnWwKg%3D,1,144427,3.99,19.99,1,80.040020,85,Overwhelmingly Positive,95,82482,379720,1463011200,1770075285,7.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/379720/capsule_231x87.jpg?t=1750784856,2016-05-12 00:00:00+00:00,2016,05/12/16
TUROK,Turok,/game/turok/,6WaSDC8OGw3OljZW%2BN8QPRfRg3H%2F19tRsVxrAq9T8bw%3D,1,147555,3.99,19.99,1,80.040020,65,Very Positive,93,2387,405820,1208822400,1769898995,6.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/405820/capsule_231x87.jpg?t=1764708997,2008-04-22 00:00:00+00:00,2008,04/22/08
TRANSOCEAN2RIVALS,TransOcean 2: Rivals,/game/transocean-2-rivals/,wDapsixBOSH3TWbUHpFgEJKxhe5Atfaa1%2Bk8NHE5GoY%3D,1,150882,3.99,19.99,1,80.040020,69,Mixed,50,503,350110,1462838400,1770329138,7.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/350110/capsule_231x87.jpg?t=1768874702,2016-05-10 00:00:00+00:00,2016,05/10/16
POLICETACTICSIMPERIO,POLICE TACTICS: IMPERIO,/game/police-tactics-imperio/,wmxQsKXW5Q5JDpwVelxOnF8P4Q0xcu7gaiF14h1of14%3D,1,157523,3.99,19.99,1,80.040020,0,Mixed,58,298,378800,1473206400,1770330889,5.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/378800/capsule_231x87.jpg?t=1768874662,2016-09-07 00:00:00+00:00,2016,09/07/16
TRANSROADUSA,TRANSROAD: USA,/game/transroad-usa/,iV%2FR68mLA6VviC%2BLgGlHukiTOyJxjQ%2F9FlLhAWgh1oU%3D,1,174901,3.99,19.99,1,80.040020,53,Mixed,52,342,494670,1510185600,1770330390,6.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/494670/capsule_231x87.jpg?t=1770657488,2017-11-09 00:00:00+00:00,2017,11/09/17
